Fecha;Origen - Base de datos;Comprobante;Item - Cantidad;Artículo - Código;Artículo;Item - Monto sin impuestos;Item - Monto con impuestos;Item - Descuento sin impuestos;Item - Descuento con impuestos;Item - Monto Neto sin impuestos;Item - Monto Neto
29/11/24;ERIOS;FEN B 0039-00003388;1;827;827 Nutri Serum x30ml;18937,1901;22914;0;0;18937,1901;22914
30/11/24;ERIOS;FEN B 0039-00003401;1;827;827 Nutri Serum x30ml;18937,1901;22914;0;0;18937,1901;22914
2/11/24;ERIOS;FEN B 0039-00003098;1;56;"56 ""Nutri-Balsam c/Vit. """"E"""" x400ml""";9389,2562;11361;0;0;9389,2562;11361
16/11/24;ERIOS;FEN B 0039-00003255;1;56;"56 ""Nutri-Balsam c/Vit. """"E"""" x400ml""";9389,2562;11361;0;0;9389,2562;11361
26/11/24;ERIOS;FEN B 0039-00003366;1;56;"56 ""Nutri-Balsam c/Vit. """"E"""" x400ml""";9389,2562;11361;0;0;9389,2562;11361
30/11/24;ERIOS;FEN B 0039-00003400;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
26/11/24;ERIOS;FEN B 0039-00003356;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
22/11/24;ERIOS;FEN B 0039-00003320;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
22/11/24;ERIOS;FEN B 0039-00003322;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
9/11/24;ERIOS;FEN B 0039-00003177;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
2/11/24;ERIOS;FEN B 0039-00003114;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
6/11/24;ERIOS;FEN B 0039-00003142;1;653;653 masc oleo de argan;10014,0496;12117;1001,5297;1211,851;9012,5199;10905,1508
5/11/24;ERIOS;FEN B 0039-00003140;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
9/11/24;ERIOS;FEN B 0039-00003183;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
9/11/24;ERIOS;FEN B 0039-00003178;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
9/11/24;ERIOS;FEN B 0039-00003184;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
26/11/24;ERIOS;FEN B 0039-00003365;1;653;653 masc oleo de argan;10014,0496;12117;1001,405;1211,7;9012,6446;10905,3
29/11/24;ERIOS;FEN B 0039-00003395;1;653;653 masc oleo de argan;10014,0496;12117;1001,405;1211,7;9012,6446;10905,3
30/11/24;ERIOS;FEN B 0039-00003409;1;653;653 masc oleo de argan;10014,0496;12117;2002,8099;2423,4;8011,2397;9693,6
30/11/24;ERIOS;FEN B 0039-00003420;1;653;653 masc oleo de argan;10014,0496;12117;2002,8099;2423,4;8011,2397;9693,6
30/11/24;ERIOS;FEN B 0039-00003419;1;653;653 masc oleo de argan;10014,0496;12117;2014,2723;2437,2695;7999,7773;9679,7306
18/11/24;ERIOS;FEN B 0039-00003297;1;653;653 masc oleo de argan;10014,0496;12117;1001,4049;1211,7;9012,6447;10905,2992
18/11/24;ERIOS;FEN B 0039-00003296;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
19/11/24;ERIOS;FEN B 0039-00003310;1;653;653 masc oleo de argan;10014,0496;12117;1001,405;1211,7;9012,6446;10905,3004
24/11/24;ERIOS;FEN B 0039-00003344;1;653;653 masc oleo de argan;10014,0496;12117;1001,405;1211,7;9012,6446;10905,3
25/11/24;ERIOS;FEN B 0039-00003354;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
10/11/24;ERIOS;FEN B 0039-00003206;1;653;653 masc oleo de argan;10014,0496;12117;1001,405;1211,7;9012,6446;10905,3
13/11/24;ERIOS;FEN B 0039-00003224;1;653;653 masc oleo de argan;10014,0496;12117;14,0496;17;10000;12100
15/11/24;ERIOS;FEN B 0039-00003245;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
16/11/24;ERIOS;FEN B 0039-00003257;1;653;653 masc oleo de argan;10014,0496;12117;14,0496;17;10000;12100
17/11/24;ERIOS;FEN B 0039-00003266;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
17/11/24;ERIOS;FEN B 0039-00003260;1;653;653 masc oleo de argan;10014,0496;12117;1001,405;1211,7;9012,6446;10905,2983
2/11/24;ERIOS;FEN B 0039-00003109;1;803;803 masc renov celular;10014,0496;12117;0;0;10014,0496;12117
15/11/24;ERIOS;FEN B 0039-00003239;1;803;803 masc renov celular;10014,0496;12117;0;0;10014,0496;12117
17/11/24;ERIOS;FEN B 0039-00003280;2;803;803 masc renov celular;20028,0992;24234;0;0;20028,0992;24234
8/11/24;ERIOS;FEN B 0039-00003166;1;609;609 Masc.Anti Amarillo x150ml;9570,2479;11580;9,7415;11,7872;9560,5064;11568,2135
14/11/24;ERIOS;FEN B 0039-00003230;1;609;609 Masc.Anti Amarillo x150ml;9570,2479;11580;0;0;9570,2479;11580
25/11/24;ERIOS;FEN B 0039-00003351;1;609;609 Masc.Anti Amarillo x150ml;9570,2479;11580;0;0;9570,2479;11580
8/11/24;ERIOS;FEN B 0039-00003160;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
19/11/24;ERIOS;FEN B 0039-00003308;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
19/11/24;ERIOS;FEN B 0039-00003310;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;1383,8017;1674,4;12454,2148;15069,6007
20/11/24;ERIOS;FEN B 0039-00003312;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
17/11/24;ERIOS;FEN B 0039-00003273;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744,005
17/11/24;ERIOS;FEN B 0039-00003280;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
15/11/24;ERIOS;FEN B 0039-00003238;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
15/11/24;ERIOS;FEN B 0039-00003239;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
8/11/24;ERIOS;FEN B 0039-00003169;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
9/11/24;ERIOS;FEN B 0039-00003176;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
10/11/24;ERIOS;FEN B 0039-00003199;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
2/11/24;ERIOS;FEN B 0039-00003102;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
2/11/24;ERIOS;FEN B 0039-00003115;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;8,2645;10;8512,3967;10300
28/11/24;ERIOS;FEN B 0039-00003378;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;852,0661;1031;7668,5951;9279,001
29/11/24;ERIOS;FEN B 0039-00003392;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
22/11/24;ERIOS;FEN B 0039-00003323;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
22/11/24;ERIOS;FEN B 0039-00003325;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
17/11/24;ERIOS;FEN B 0039-00003276;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
17/11/24;ERIOS;FEN B 0039-00003285;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
18/11/24;ERIOS;FEN B 0039-00003286;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
2/11/24;ERIOS;FEN B 0039-00003099;1;204;204 Balsam Dermoprotector x255;11096,6942;13427;0;0;11096,6942;13427
2/11/24;ERIOS;FEN B 0039-00003106;1;204;204 Balsam Dermoprotector x255;11096,6942;13427;0;0;11096,6942;13427
8/11/24;ERIOS;FEN B 0039-00003169;1;204;204 Balsam Dermoprotector x255;11096,6942;13427;0;0;11096,6942;13427
