SKU;título; COST S/IMP ; COST C/IMP ;PVP
626;Champú 4 con aceite de Coco  x 295ml;4.146,21;5.016,92;8362,00
627;Balsam 4 con aceite de Coco x 295g;4.146,21;5.016,92;8362,00
639;Champú Proteínas de Soja x 400ml;5.334,34;6.454,55;10758,00
641;Balsam Proteínas de Soja x 400ml;5.529,48;6.690,68;11151,00
645;Estuche Champú Anti Naranja 1x24x20ml;20.350,37;24.623,95;1710,00
646;Champú Anti Naranja;5.310,11;6.425,23;10709,00
647;Máscara Anti Naranja pote;5.575,09;6.745,86;11243,00
648;Champú Anti Rojizo;5.310,11;6.425,23;10709,00
649;Máscara Anti Rojizo pote;5.575,09;6.745,86;11243,00
650;Estuche Champú Anti Rojizo 1x24x20ml;20.350,37;24.623,95;1710,00
651;Shampoo Oleo de Argán x 200ml;5.791,52;7.007,74;11680,00
652;Balsam Oleo de Argán x 200ml;5.791,52;7.007,74;11680,00
653;Máscara Oleo de Argán pote x 150ml;6.008,49;7.270,27;12117,00
654;Acond. Bifás. s/enj. Oleo de Argán x 150ml;9.379,19;11.348,82;18915,00
656;Hairstick Antifrizz Capilar x 12ml;8.168,89;9.884,36;15700,00
667;Bruma Capilar Perfumada x 170ml;9.324,86;11.283,08;17950,00
697;Champu Chia x400ml;5.033,37;6.090,37;10151,00
699;Balsam Chia x395g/400ml;5.714,35;6.914,36;11524,00
700;Alcohol en gel x 250 ml;3.529,72;4.270,97;7118,00
701;Kit color Fantasy Aquamarine x90ml;6.273,97;7.591,51;12653,00
701;Kit color Fantasy Azul Caribe x90ml;6.273,97;7.591,51;12653,00
701;Kit color Fantasy Magenta x90ml;6.273,97;7.591,51;12653,00
701;Kit color Fantasy Naranja x90ml;6.273,97;7.591,51;12653,00
701;Kit color Fantasy Rojo x90ml;6.273,97;7.591,51;12653,00
701;Kit color Fantasy Violeta x90ml;6.273,97;7.591,51;12653,00
702;Máscara Ultra Brillo pote;5.478,04;6.628,42;11047,00
703;Polvo Decolorante Estuche 1x24 x20g;66.100,38;79.981,47;5554,00
707;AMPOLLA 1007 c/Ext. Vegetales & Oligoelementos p/caída leve;2.831,45;3.426,06;5710,00
711;AMPOLLA 011 c/Rosa Mosqueta & Aminoácidos p/secos o resecos;2.895,84;3.503,97;5840,00
712;SPRAY FIJADOR CON SILICONAS;6.671,02;8.071,93;12915,00
713;SPRAY ANTIHUMEDAD;6.969,42;8.433,00;13492,00
714;MOUSSE ESPUMA MODELADORA;6.183,66;7.482,23;11970,00
715;BRILLO SHINE ULTRA LIGERO;6.842,79;8.279,78;13250,00
722;AMPOLLA 022 c/Ac. Hialurónico & Vitam.C p/trat. químico;2.981,60;3.607,74;6013,00
727;Champú p/ Recuperación Capilar P+T x 300ml;5.924,34;7.168,45;11947,00
728;AMPOLLA P+T c/Proteínas & Tricopéptidos p/caída localizada;3.110,11;3.763,24;6272,00
730;Champú P+T c/ Octopirox para la caspa y caída x 300ml;8.642,30;10.457,19;17429,00
737;AMPOLLA 1007 Pontencializado c/Vitam.B & Tomillo p/caída severa;2.981,34;3.607,42;6012,00
741;Champú P+T para la seborrea c/ Sepicontrol x 300ml;6.865,66;8.307,44;13846,00
744;AMPOLLA 1044 c/Keratina Hidrolizada p/grasos;2.831,45;3.426,06;5710,00
751;SPRAY MANZANILLA BIFASE x 150ml;7.332,91;8.872,82;14788,00
755;AMPOLLA 055 c/Oleo de Semillas Lino p/quebradizos y maltratados;3.260,26;3.944,92;6575,00
759;AMPOLLA SHOCK DE KERATINA c/Oro & Caviar p/finos y desvitalizados;2.852,83;3.451,92;5753,00
762;AMPOLLA BIOXIDIL c/Silanol & citopeptinas p/caía finos y frágiles;3.389,03;4.100,73;6835,00
763;Loción Bioxidil Fortalecedora y Engrosadora;12.039,89;14.568,26;24280,00
775;Máscara de Hidratación con Glycoceramidas x 150ml;4.941,06;5.978,68;9964,00
780;Máscara Aceite de Jojoba x 150ml;4.744,35;5.740,67;9568,00
786;Tratamiento instantáneo Anti- Frizz x 155ml;5.432,32;6.573,11;10955,00
789;Champú Reflejante Plata x295ml;7.102,30;8.593,78;14323,00
790;Máscara Reflejante Plata pote;6.897,31;8.345,74;13910,00
791;Estuche Champú Reflejante Plata 1x24x20ml;24.420,43;29.548,73;2052,00
796;Máscara 100% Veganos con Keratina Vegetal x 150ml;4.228,69;5.116,72;8528,00
803;Masc.Renovacion Celular Pote x150ml;6.008,49;7.270,27;12117,00
807;Pantalla Cap. c/Proteínas Vegetales y UV x155ml;4.090,41;4.949,39;8249,00
827;Nutri Serum Reparador de Puntas con Vitamina E;11.031,21;13.347,76;22246,00
830;Protector Térmico con Ácido Hialurónico y Filtro UV Atomiza.x250;6.026,20;7.291,70;12153,00
845;Cristales Liquidos x30 ml;8.431,73;10.202,39;17004,00
851;Máscara Protección Color con Filtro UV x 150ml;6.492,35;7.855,74;13093,00
858;Máscara Nutricream x 150ml;4.137,37;5.006,22;8344,00
8;Fija+Mas 20 Vol.Hierbas x150ml;1.612,85;1.951,55;3253,00
10;Bio Color Express 10 min Kit;3.605,11;4.362,19;7270,00
15;Champú Provitamina B5 x 200 ml;3.521,00;4.260,41;7101,00
16;Champú Provitamina B5 x 400 ml;5.537,30;6.700,13;11167,00
20;Recuperador Balsámico B5 x200;3.521,00;4.260,41;7101,00
